lemma	top	first_tag
&	Z	Z5
&amp;	Z	Z5
&pound;	I	I1
'	Z	Z5
'72ish	T	T1.3
'80ish	T	T1.3
'castle	Z	Z2
'bout	Z	Z5
'cause	Z	Z5/A2.2
'cos	Z	Z5
'course	Z	Z4
'd	A	A7
'e	Z	Z8m
'em	Z	Z8
'im	Z	Z8m
'is	Z	Z8
'll	T	T1.1.3
'm	A	A3
'n'	Z	Z5
'r'	A	A3
're	A	A3
's	Z	Z5
't	Z	Z8
'til	Z	Z5
'till	Z	Z5
'un	N	N1
've	A	A9
*	Z	Z5
*%	N	N5
*'c	O	O4.6
*-a-year	N	N5
*-acre	N	N3.6
*-bed	N	N3.2/H4
*-employee	N	N3.2
*-foot	N	N3.7
*-full	N	N3.4
*-hour	T	T1.3
*-inch	N	N3.7
*-metre	N	N3.7
*-mile	N	N3.3
*-minute	T	T1.3
*-month	T	T1.3
*-odd	N	N5
*-page	Q	Q1.2
*-plus	N	N5
*-point	N	N3.1
*-something	N	N5
*-somethings	N	N5
*-storey	H	H1/N3.7
*-strong	N	N3.2
*-weekly	N	N6
*-year	T	T1.3
*-year-old	T	T3
*-year-olds	T	T3
*kbps	N	N3.8/Y2
*mb	N	N3.2/Y2
*mw	N	N3/O3
*acre	N	N3.6
*cms	N	N3.7
*ha	N	N3.6
*hectare	N	N3.6
*kph	N	N3.8
+	Z	Z5
-reuter	Z	Z3c
-based	M	M6
-listed	I	I2.1
-synth	K	K3
-type	A	A4.1
1-click	Z	Z3c
1-year	T	T1.3
1/2	N	N1
1/4	N	N1
10	N	N1
10-15%	N	N5
10-year	T	T1.3
10.00ish	T	T3
100%	N	N5.1
100-odd	N	N1
100k	I	I1
100e	Z	Z3
106	Z	Z3fn
10k	I	I1
10p	I	I1
11+	P	P1
110k	I	I1
12+	P	P1
12-dimensional	O	O4.1
12-hour	T	T1.3
12-month	T	T1.3
12-storey	H	H1/N3.7
14-year-olds	T	T3
15-second	T	T3
150-word	Q	Q1.2
150-year-old	T	T3
16-year	T	T1.3
16-year-old	T	T3
160-something	N	N1
16xxi	Z	Z3fn
17-year	T	T1.3
17-year-old	T	T3
17-year-olds	T	T3
17.5%	N	N5
18-foot	N	N3.7
18-year	T	T1.3
18-year-old	T	T3
18-year-olds	T	T3
19th	N	N4
1pm	T	T1.1.2
2-bit	N	N5
2-litre	N	N3.4
2/3	N	N1
20-25%	N	N5
20-odd	N	N1
20-something	N	N1
20-year	T	T1.3
200k	I	I1
21-year-old	T	T3
21st-century	T	T1.3
23-year-old	T	T3
24-hour	T	T1.3
25-year	T	T1.3
250k	I	I1
27.5%	N	N5
28-year-old	T	T3
28th	N	N4
2d	O	O4.4
3,000-year-old	T	T3
3-com	Z	Z3c
3-course	F	F1
3-month	T	T1.3
3-weekly	N	N6
3-year	T	T1.3
3/4	N	N1
30-odd	N	N1
30-plus	T	T3
30-seater	N	N5
30-year-old	T	T3
30k	I	I1
34-year-old	T	T3
34dd	N	N3.2
35-year-old	T	T3
360-degree	O	O4.4
360gt	Z	Z3
39c	O	O4.6
3d	O	O4.4
3g	Q	Q1.3/Y2
3hj	Z	Z5
3i	Z	Z3c
3x	N	N2
3rd	N	N4
4-year	T	T1.3
40-fold	N	N5
40-minute	T	T1.3
40-ton	N	N3.5
401(k)	I	I1
40k	I	I1
42-year-old	T	T3
44-year-old	T	T3
45-year-old	T	T3
450k	I	I1
47-store	I	I2.2/H1c
4fs	Z	ZZ2
4th	N	N4
5	N	N1
5-a-side	K	K5.1
5-day	T	T1.3
5-hour	T	T1.3
5-year	T	T1.3
5/6	N	N1
50-60%	N	N5
50/50	A	A7
50c	O	O4.6
50k	I	I1
52-week	T	T1.3
53-year-old	T	T3
58-year-old	T	T3
5c	O	O4.6
5k	I	I1
5p	I	I1
6-foot	N	N3.7
6-month	T	T1.3
600k	I	I1
620	N	N1
62ish	T	T3
650k	I	I1
69-year-old	T	T3
6th	N	N4
7-day	T	T1.3
7/8-length	N	N3.7
70-80%	N	N5
70-odd	N	N1
75/25	N	N5
757	M	M5fn
8ae	Z	Z5
9-way	M	M6
90'	T	T1.3
90-mile	N	N3.3
95ish	T	T3
96-year-old	T	T3
98-pound	N	N3.5
99.9%	N	N5
999	N	N1
=	Z	Z5
a'level	P	P1
a'levels	P	P1
a-z	Z	Z3
a-bomb	G	G3
a-level	P	P1
a-levels	P	P1
a-road	M	M3
a-thirty-five	Z	Z3
a1	Z	Z2
a10	Z	Z2
a12	Z	Z2
a123	Z	Z5
a2	Q	Q1.2/N3.2
a25	Z	Z2
a3	Z	Z2
a3-sized	N	N3.2/Q1.2
a34	Z	Z2
a35	Z	Z2
a4	N	N3.2
a40	M	M3/Z2
a5	Q	Q1.2
a69	M	M6
aa	F	F2
ab	P	P1
abc1	S	S5
abcc	Z	Z3c
abco	Z	Z3c
abh	E	E3
abm	G	G3
abs	O	O1.1
abta	Z	Z3c
abtgi	Z	Z3c
ac	Z	Z3c
ac/dc	S	S3.2/S2mf
acas	S	S5+c
acc	G	G2.1/S2mf
acca	Z	Z3c
acdc	O	O3
acg	Z	Z3c
achpr81	Z	Z3
achr69	Z	Z3
aclu	Z	Z3/G1.2
acnac	Z	Z3c
acp	Z	Z3
acpo	Z	Z3c
acsm	Z	Z3c
actt	Z	Z3c
ad	T	T1.1.1
adhd	B	B2-/X5.1
adsl	Y	Y2
adt	Z	Z3c
aeb	Z	Z3c
aee	Z	Z3c
aei	Z	Z3c
agb	Z	Z3c
agm	S	S1.1.3+c
ai	B	B3
aids	B	B2
aids-related	B	B2
aids/hiv	B	B2
aito	Z	Z3c
aj	Z	Z1mf
ak-47	G	G3
ak-47s	G	G3
ak-74	G	G3
ak47	G	G3
amm	Z	Z3c
ammb	Z	Z3c
anc	G	G1.2/S5
ansi	Z	Z3/Q1.3
ao	P	P1
aob	X	X4.1
aol	Z	Z3c/Y2
ap	Z	Z3c
apb	G	G2.1/Q1.1
apc	P	P1
apex	M	M5/Q1.2
api	Z	Z3/Q4.2
apm	I	I1/K1
apmc97	Z	Z3
apr	I	I1.2
apt	A	A11.1
aqha	Z	Z3c
ari	Z	Z3c
ars57	G	G2.1/M4/S2.2
arsp73	G	G2.1/M4/S2.2
as90	Z	Z3
asa	Y	Y1
asap	Z	Z3c
asas	Y	Y1
asb	S	S9/Q4.1
ascii	Y	Y2
asean	Z	Z3
asean-5	Z	Z3c
asli	Z	Z3c
asm	K	K4/S2mf
asolo	Z	Z3c
aspca	Z	Z3/L2
at&amp;t	Z	Z3c
atc	G	G3c
atm	I	I1/Y2
atnt	Z	Z3c
ato	P	P1c
atos	P	P1c
atp	P	P1
atract	Z	Z3
ats	Z	Z3c
atv	Z	Z3c
auteurs	Q	Q4.3/S2mf
avc	Z	Z3c
avi	Y	Y2
awol	G	G3/G2.1
awp	K	K1
awps	K	K1
azt	B	B3
aaahh	Z	Z4
aagh	Z	Z4
aahh	Z	Z4
aaron	Z	Z1m
abagaveny	Z	Z2
abbey	Z	Z3c
abbeyfield	Z	Z3c
abbot	Z	Z1
abbots	Z	Z1c
abbott	Z	Z1mf
abbotts	Z	Z3c
abdou	Z	Z1m
abdul	Z	Z1m
abdullah	Z	Z1m
abel	Z	Z1m
aberdale	Z	Z2
aberdares	Z	Z2
aberdeen	Z	Z2
aberdulais	Z	Z2
abergavenny	Z	Z2
aberystwyth	Z	Z2
abigail	Z	Z1f
abkhazians	Z	Z2/S2mf
aborigine	M	M7/S2mf
abraham	Z	Z1m
abram	Z	Z1m
abu	Z	Z1m
abyssinian	Z	Z2
academy	P	P1c
acapulco	Z	Z2
accenture	Z	Z3c
accident	Z	Z3c
accidents	Z	Z3c
accord	Z	Z3c
accra	Z	Z2
accrington	Z	Z2
acenet	Z	Z3c/Y2
aceh	Z	Z2/S2mf
achedale	Z	Z2
achilles	Z	Z1m
acholi	Z	Z2/S2mf
acidhead	Z	Z3c
ackerley	Z	Z1mf
ackford	Z	Z2
acquafoil	Z	Z3
acropolis	Z	Z2
actalaunch	Z	Z3c
activate	Z	Z3c
active	Z	Z3fn
acton	Z	Z2
acts	A	A5.4
adam	Z	Z1m
adamsdown	Z	Z2
addas	Z	Z3c
addey	Z	Z1m
addidas	Z	Z3c
addington	Z	Z2
addlestone	Z	Z2
adelaide	Z	Z2
aden	Z	Z2
adenoids	B	B1
adidas	Z	Z3c
adivasis	Z	Z2/S2mf
adler	Z	Z1mf
administrator	S	S7.1+/S2mf
admiral	G	G3/S2.2m
admiralty	Z	Z3c
ado	Z	Z1
adolf	Z	Z1m
adonis	Z	Z1
adrian	Z	Z1m
adriana	Z	Z1f
adriano	Z	Z1m
adriatic	Z	Z2
adtranz	Z	Z3c
adventism	S	S9
adventist	S	S9/S2mf
adygeis	Z	Z2/S2mf
adzhars	Z	Z2/S2mf
aegean	Z	Z2
aerial	Z	Z3
aeroball	Z	Z3c
aeroflot	Z	Z3c/M5
aerosmith	Z	Z3c
aerospace	Z	Z3c
aesop	Z	Z1
afars	Z	Z2/S2mf
affector	B	B5/Z3c
affin-oua	Z	Z3c
affin-uob	Z	Z3c
afghan	Z	Z2/S2mf
afghanistan	Z	Z2
afghans	Z	Z2/S2mf
africa	Z	Z2
african	Z	Z2
african-american	Z	Z2
african-americans	Z	Z2/S2mf
african-arabic	Z	Z2
africans	Z	Z2/S2mf
afrid	Z	Z3c
afrikaan	Z	Z2/S2mf
afrikaaner	Z	Z2/S2mf
afrikaaners	Z	Z2/S2mf
afrikaans	Z	Z2/S2mf
afrikaner	Z	Z2/S2mf
afrikaners	Z	Z2/S2mf
afro	Z	Z2
afro-american	Z	Z2/S2mf
afro-americans	Z	Z2/S2mf
afro-brazilian	Z	Z2/S2mf
afro-brazilians	Z	Z2/S2mf
afro-caribbean	Z	Z2
afro-colombian	Z	Z2
afro-colombians	Z	Z2/S2mf
afta	Z	Z3c
agassi	Z	Z1mf
agatha	Z	Z1f
agfa	Z	Z3c
aggra	Z	Z2
agila	L	L3
agincourt	Z	Z2
agnes	Z	Z1f
agora	Z	Z2
ah-ha	Z	Z4
aha	Z	Z4
ahab	Z	Z1m
ahhh	Z	Z4
ahmadiyya	S	S9/S2mf
aida	Z	Z3
aided	S	S8
aiden	Z	Z1m
aigle	Z	Z3c
aintree	Z	Z1m
airbus	M	M5
airdree	Z	Z2
airedale	Z	Z2
airfix	Z	Z3c
airtight	A	A1.7
airtour	Z	Z3c
airway	Z	Z3c
aitken	Z	Z1mf
ajax	Z	Z3c
akan	Z	Z2/S2mf
akela	K	K1/S2mf
akhbar	Z	Z1m
akinoglu	Z	Z1
akira	Z	Z1m
akomo	Z	Z2c
akon	Z	Z3
al	Z	Z1m
aladdin	Z	Z3
alam	Z	Z1m
alan	Z	Z1m
alarg	Z	Z2
alaska	Z	Z2
alastair	Z	Z1m
alban	Z	Z2
albania	Z	Z2
albanian	Z	Z2
albanians	Z	Z2/S2mf
albans	Z	Z2
albany	Z	Z1m
alberfuera	Z	Z2
albermyle	Z	Z2
albert	Z	Z1m
alberto	Z	Z1m
albion	Z	Z3c
alcatraz	Z	Z2
alcester	Z	Z2
alco	Z	Z3c
aldborough	Z	Z2
aldenbury	Z	Z2
alderbury	Z	Z2
aldershot	Z	Z2
aldgate	Z	Z2
aldridge	Z	Z2
aldrow	Z	Z2
alec	Z	Z1m
alegan	Z	Z3c
alensheare	Z	Z3c
alenthorpe	Z	Z2
alex	Z	Z1mf
alexander	Z	Z1m
alexandra	Z	Z1f
alexandria	Z	Z1f
alexandrian	Z	Z2
alexandrina	Z	Z1f
alf	Z	Z1m
alfa	Z	Z3c
alfred	Z	Z1m
algarve	Z	Z2
algebra	N	N2
algeria	Z	Z2
algerian	Z	Z2
algiers	Z	Z2
ali	Z	Z1mf
aliai	Z	Z3c
alicante	Z	Z2
alice	Z	Z1f
alison	Z	Z1f
alistair	Z	Z1m
alitalia	Z	Z3c
all-england	M	M7
all-souls	Z	Z3
allah	Z	Z1
allan	Z	Z1m
allaston	Z	Z2
alldays	Z	Z3c
allders	Z	Z3c
allen	Z	Z1mf
allerdale	Z	Z2
allerton	Z	Z1mf
alleyn	Z	Z1mf
alliance	Z	Z3c
allie	Z	Z1f
allies	S	S5
allingham	Z	Z1mf
alloa	Z	Z2
almarose	Z	Z3c
almeida	Z	Z3c
almighty	Z	Z1/S9
alnwick	Z	Z2
alouitius	Z	Z1m
alpasso	Z	Z2
alpha	W	W1
alphonsus	Z	Z1m
alpiniste	Z	Z3
alps	Z	Z2
alsace	Z	Z2
alsatian	Z	Z2/S2mf
alston	Z	Z2
alternately	A	A6.3
alton	Z	Z1mf
altrincham	Z	Z2
altringham	Z	Z2
alum	Z	Z2
alytalia	Z	Z3c
alzheimer	Z	Z1mf
amal	Z	Z3
amalfi	Z	Z2
amanah	Z	Z3c
amanda	Z	Z1f
amazon	S	S2.1f
amazon.co.uk	Z	Z3c/Y2
amazon.com	Z	Z3c/Y2
amazon.de	Z	Z3c/Y2
amazonian	Z	Z2/S2mf
ambassador	G	G1.1/S2mf
amber	Z	Z1f
amberley	Z	Z2
ambler	Z	Z1
ambleside	Z	Z2
amboseli	Z	Z2
ambrose	Z	Z1m
ambulatory	M	M1
amcom	Z	Z3c
ameco	Z	Z3c
amelia	Z	Z1f
america	Z	Z2
american	Z	Z2/S2mf
american-style	Z	Z2/A4.1
americanism	Z	Z2
americanisms	Z	Z2
americanization	Z	Z2/A6.1
americanize	Z	Z2/A6.1
americano	F	F2
americanos	F	F2
americans	Z	Z2/S2mf
americas	Z	Z2
amerindian	Z	Z2/S2mf
amerindians	Z	Z2/S2mf
amersham	Z	Z2
amey	Z	Z3
amhara	Z	Z2/S2mf
amicable	Z	Z3c
amicables	Z	Z3c
amiga	Z	Z3c
amin	Z	Z1m
amlarose	Z	Z3
ammal	Z	Z3
ammonite	T	T1.1.1/S5
amnesty	Z	Z3c
amos	Z	Z1m
ampang	Z	Z2
ampstead	Z	Z2
amstead	Z	Z2
amsteel	Z	Z3c
amsteel-owner	Z	Z3c/A9
amsterdam	Z	Z2
amstrad	Z	Z3c
amundsen	Z	Z1
amway	Z	Z3c
amy	Z	Z1f
anadin	Z	Z3
anaesthese	Z	Z2
anaesthetists	B	B3/S2mf
ananda	Z	Z1m
anasey	Z	Z2
anatolian	Z	Z2
anatomical	B	B1
andalusia	Z	Z2
andersen	Z	Z1
anderson	Z	Z1mf
andes	Z	Z2
anding	Z	Z2
andorra	Z	Z2
andorran	Z	Z2/S2mf
andorrans	Z	Z2/S2mf
andover	Z	Z2
andre	Z	Z1m
andrea	Z	Z1f
andreotti	Z	Z1mf
andrew	Z	Z1m
anette	Z	Z1f
anfield	Z	Z2
angel	Z	Z2
angelnet	Z	Z3c/Y2
